datetime_sydney,audusd_futures,distance_to_0.7200,distance_to_0.7275,distance_to_0.7350,strategy_zone
2026-05-04 10:30:00+10:00,0.7203500270843506,0.0003500270843506126,-0.00714997291564945,-0.0146499729156494,Above 0.7200 but below lower breakeven
2026-05-04 16:00:00+10:00,0.7202500104904175,0.0002500104904175071,-0.007249989509582555,-0.014749989509582506,Above 0.7200 but below lower breakeven
2026-05-04 22:00:00+10:00,0.7184000015258789,-0.001599998474121067,-0.00909999847412113,-0.01659999847412108,"Below lower strike, position under pressure"
2026-05-05 03:30:00+10:00,0.7164000272750854,-0.003599972724914524,-0.011099972724914586,-0.018599972724914537,"Below lower strike, position under pressure"
2026-05-05 10:00:00+10:00,0.715499997138977,-0.004500002861022923,-0.012000002861022985,-0.019500002861022936,"Below lower strike, position under pressure"
2026-05-05 16:00:00+10:00,0.713949978351593,-0.006050021648406956,-0.013550021648407018,-0.02105002164840697,"Below lower strike, position under pressure"
2026-05-05 21:30:00+10:00,0.7166500091552734,-0.003349990844726536,-0.010849990844726598,-0.01834999084472655,"Below lower strike, position under pressure"
2026-05-06 03:00:00+10:00,0.7181000113487244,-0.0018999886512756081,-0.00939998865127567,-0.01689998865127562,"Below lower strike, position under pressure"
2026-05-06 10:00:00+10:00,0.720300018787384,0.00030001878738405985,-0.007199981212616002,-0.014699981212615953,Above 0.7200 but below lower breakeven
2026-05-06 15:30:00+10:00,0.7242500185966492,0.004250018596649197,-0.0032499814033508656,-0.010749981403350817,"Profit zone, moving toward max profit"
